,Away-Away,Away-Equal,Away-Home,Equal-Away,Equal-Equal,Equal-Home,Home-Away,Home-Equal,Home-Home
0,55,0,6771,18,0,6662,25,0,11033
1,159,2,6666,73,0,6637,83,2,10942
2,209,3,6607,125,2,6600,187,4,10827
3,272,11,6564,168,2,6539,268,9,10731
4,355,14,6482,205,8,6511,356,15,10618
5,425,22,6412,256,12,6471,432,25,10509
6,502,34,6346,286,19,6444,493,43,10397
7,547,41,6282,361,33,6408,565,53,10274
8,631,52,6191,387,43,6393,641,66,10160
9,689,59,6124,444,59,6353,711,75,10050
10,740,68,6061,487,74,6336,779,93,9926
11,788,77,6001,542,94,6308,841,124,9789
12,852,88,5918,581,94,6309,911,144,9667
13,890,112,5857,621,117,6273,972,166,9556
14,956,123,5784,664,133,6237,1045,186,9436
15,1007,142,5691,712,149,6214,1121,205,9323
16,1060,158,5609,776,163,6185,1167,234,9212
17,1111,178,5532,799,181,6185,1220,255,9103
18,1158,191,5445,872,204,6162,1244,284,9004
19,1207,205,5354,923,233,6170,1287,312,8873
20,1241,210,5296,971,248,6174,1336,334,8754
21,1270,239,5237,1016,273,6147,1366,367,8649
22,1313,260,5156,1053,300,6138,1410,374,8560
23,1381,257,5065,1088,334,6136,1447,411,8445
24,1414,284,4991,1129,371,6113,1484,436,8342
25,1441,302,4927,1154,402,6118,1510,465,8245
26,1466,331,4864,1208,439,6092,1515,491,8158
27,1496,360,4789,1268,453,6066,1539,534,8059
28,1515,383,4721,1305,479,6087,1563,564,7947
29,1548,387,4668,1346,517,6079,1587,591,7841
30,1577,415,4592,1376,548,6086,1614,617,7739
31,1595,433,4519,1415,586,6118,1624,638,7636
32,1613,452,4482,1455,623,6125,1648,649,7517
33,1658,455,4427,1471,659,6136,1666,655,7437
34,1671,502,4369,1512,669,6139,1675,680,7347
35,1675,523,4312,1557,694,6170,1694,706,7233
36,1692,530,4266,1582,742,6187,1710,724,7131
37,1712,547,4207,1619,754,6198,1719,754,7054
38,1728,550,4150,1667,805,6202,1728,770,6964
39,1731,572,4087,1711,824,6234,1734,792,6879
40,1754,586,4030,1737,872,6264,1753,793,6775
41,1770,603,3976,1777,896,6292,1753,827,6670
42,1788,606,3911,1818,937,6320,1751,832,6601
43,1785,621,3857,1854,985,6342,1761,821,6538
44,1826,679,3726,1908,1019,6365,1727,854,6460
45,1766,654,3724,1980,1080,6441,1754,863,6302
46,1803,661,3650,2008,1106,6441,1751,872,6272
47,1803,674,3573,2055,1161,6471,1755,875,6197
48,1813,678,3510,2100,1202,6517,1745,894,6105
49,1813,688,3447,2164,1250,6557,1736,890,6019
50,1800,693,3397,2247,1273,6574,1724,912,5944
51,1788,700,3341,2298,1319,6636,1723,916,5843
52,1793,710,3276,2334,1371,6705,1723,924,5728
53,1829,713,3188,2360,1415,6774,1720,931,5634
54,1802,728,3122,2453,1444,6862,1692,942,5519
55,1795,736,3066,2526,1492,6960,1668,940,5381
56,1776,731,3003,2614,1540,7039,1659,927,5275
57,1760,717,2954,2690,1582,7146,1636,927,5152
58,1754,705,2918,2755,1630,7220,1615,923,5044
59,1748,719,2859,2801,1694,7291,1599,918,4935
60,1734,724,2772,2875,1764,7398,1574,902,4821
61,1724,699,2715,2941,1822,7504,1527,925,4707
62,1699,717,2640,3034,1844,7615,1505,925,4585
63,1677,704,2568,3119,1881,7742,1487,915,4471
64,1641,698,2506,3211,1947,7867,1463,898,4333
65,1621,696,2413,3299,1998,8012,1420,878,4227
66,1597,667,2327,3395,2061,8167,1397,858,4095
67,1582,646,2279,3470,2102,8314,1352,864,3955
68,1559,646,2230,3545,2164,8438,1321,831,3830
69,1529,611,2165,3638,2240,8575,1291,799,3716
70,1495,609,2111,3737,2266,8730,1255,778,3583
71,1455,577,2052,3834,2339,8864,1209,764,3470
72,1392,591,1961,3944,2410,9022,1167,729,3348
73,1353,558,1866,4048,2487,9225,1121,713,3193
74,1290,538,1764,4180,2574,9407,1082,675,3054
75,1235,528,1665,4303,2634,9618,1035,653,2893
76,1156,527,1567,4436,2710,9845,990,608,2725
77,1110,477,1475,4569,2810,10066,919,583,2555
78,1061,443,1365,4705,2894,10297,865,524,2410
79,992,425,1237,4862,2972,10546,802,493,2235
80,875,413,1128,5057,3068,10789,720,465,2049
81,837,376,988,5200,3185,11062,656,398,1862
82,765,316,875,5381,3279,11334,569,355,1690
83,656,288,769,5581,3367,11656,488,317,1442
84,568,253,629,5743,3487,11954,425,239,1266
85,482,210,505,5927,3579,12280,333,215,1033
86,408,174,360,6123,3684,12600,241,160,814
87,314,114,196,6343,3802,12982,136,115,562
88,207,58,63,6574,3919,13355,45,49,294
89,0,0,0,6859,4052,13653,0,0,0
