,INC
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,.33=Goal_Home.40=Yellow_Away.56=Yellow_Away.60=Yellow_Away.60=Yellow_Home.60=Yellow_Home.69=Yellow_Home.80=Yellow_Away.88=Yellow_Home
29,.59=Goal_Away.69=Goal_Home.73=Goal_Away.75=Yellow_Home.77=Yellow_Away.83=Yellow_Home.87=Goal_Home.88=Yellow_Home
30,.04=Goal_Away.31=Yellow_Away.42=Yellow_Home.43=Goal_Away.49=Goal_Home.60=Goal_Home.72=Goal_Away.87=Yellow_Away.90=Yellow_Away.90=Yellow_Home
31,.56=Yellow_Away.57=Goal_Away.65=Yellow_Away.74=Goal_Home.90=Yellow_Away
32,.02=Goal_Home.15=Yellow_Away.22=Yellow_Away.22=Yellow_Home.80=Yellow_Home.90=Yellow_Away.90=Red_Card_Home
33,.28=Goal_Away.39=Goal_Home.41=Goal_Away.62=Goal_Home.68=Yellow_Home.73=Goal_Home.75=Goal_Home
34,.10=Goal_Away.25=Goal_Home.62=Yellow_Home.78=Yellow_Away.90=Goal_Home
35,.39=Yellow_Away.45=Goal_Home.54=Goal_Away.60=Goal_Home.63=Goal_Away.76=Yellow_Away.90=Goal_Home.90=Yellow_Home
36,.06=Goal_Away.68=Yellow_Home.88=Yellow_Away.90=Yellow_Away
37,.09=Goal_Home.49=Yellow_Away.56=Yellow_Away.81=Goal_Away.90=Yellow_Away
38,.09=Goal_Home.20=Goal_Home.30=Goal_Away.45=Goal_Away.51=Goal_Away.57=Yellow_Away
39,.39=Goal_Away.51=Goal_Away.88=Goal_Home
40,.09=Goal_Home.14=Goal_Home.20=Goal_Away.30=Goal_Home.39=Yellow_Away.45=Yellow_Home.71=Goal_Home.84=Yellow_Away
41,
42,.06=Goal_Home.15=Goal_Away.31=Goal_Home.61=Red_Card_Home.62=Goal_Away.65=Goal_Away.69=Yellow_Away.74=Goal_Away
43,.03=Goal_Home.11=Goal_Away.13=Goal_Away.26=Goal_Away.45=Goal_Away.69=Goal_Home.73=Yellow_Away
44,.23=Yellow_Home.29=Yellow_Home.36=Yellow_Home.66=Yellow_Away.83=Yellow_Away.86=Yellow_Home.90=Yellow_Away
45,.10=Own_Away.32=Yellow_Home.40=Goal_Home.42=Red_Card_Away.43=Goal_Home.59=Red_Card_Home.60=Goal_Away.72=Yellow_Away.86=Goal_Home
46,.02=Goal_Home.56=Yellow_Away.90=Yellow_Home.90=Yellow_Home
47,.06=Goal_Home.10=Goal_Away.33=Yellow_Home.35=Goal_Home.68=Yellow_Home.71=Goal_Away
48,.27=Yellow_Home.57=Yellow_Home
49,.11=Yellow_Away.15=Goal_Home.21=Goal_Away.73=Goal_Home.74=Goal_Away.84=Goal_Home.90=Yellow_Away
