,ID,Goal_Home,Goal_Away,Yellow_Home,Yellow_Away,Red_Card_Home,Red_Card_Away,Own_Home,Own_Away
28,28,1,0,4,4,0,0,0,0
29,29,2,2,3,1,0,0,0,0
30,30,2,3,2,3,0,0,0,0
31,31,1,1,0,3,0,0,0,0
32,32,1,0,2,3,1,0,0,0
33,33,4,2,1,0,0,0,0,0
34,34,2,1,1,1,0,0,0,0
35,35,3,2,1,2,0,0,0,0
36,36,0,1,1,2,0,0,0,0
37,37,1,1,0,3,0,0,0,0
38,38,2,3,0,1,0,0,0,0
39,39,1,2,0,0,0,0,0,0
40,40,4,1,1,2,0,0,0,0
42,42,2,4,0,1,1,0,0,0
43,43,2,4,0,1,0,0,0,0
44,44,0,0,4,3,0,0,0,0
45,45,3,1,1,1,1,1,0,1
46,46,1,0,2,1,0,0,0,0
47,47,2,2,2,0,0,0,0,0
48,48,0,0,2,0,0,0,0,0
49,49,3,2,0,2,0,0,0,0
50,50,1,1,0,0,0,0,0,0
51,51,0,0,1,1,0,0,0,0
52,52,1,4,0,3,0,0,0,1
53,53,3,1,0,1,0,0,0,0
54,54,0,0,1,4,0,0,0,0
55,55,0,1,2,1,0,1,0,0
56,56,1,1,3,3,0,0,1,0
57,57,3,0,1,3,0,1,0,0
58,58,2,1,1,0,0,1,0,0
59,59,1,2,5,4,1,1,0,0
60,60,3,1,0,3,0,0,0,0
61,61,1,2,1,0,0,0,1,0
62,62,1,1,2,1,0,1,0,0
63,63,3,1,2,3,0,0,0,0
64,64,3,1,0,2,0,0,0,0
66,66,0,1,1,1,0,0,0,0
67,67,2,1,3,3,0,0,0,0
68,68,1,1,2,0,0,0,0,0
69,69,3,3,1,0,0,0,0,0
70,70,1,1,1,4,0,1,0,0
71,71,0,0,1,3,1,0,0,0
72,72,2,0,1,3,0,1,0,0
73,73,0,3,4,1,1,0,0,0
74,74,0,2,5,4,0,0,0,0
75,75,0,2,1,0,0,0,0,0
76,76,1,1,0,1,0,0,0,0
77,77,2,2,3,1,0,0,0,0
78,78,3,0,0,2,0,0,0,0
79,79,4,2,2,3,0,0,0,0
80,80,2,2,0,0,0,0,0,0
81,81,1,3,0,0,0,0,0,0
82,82,2,1,2,0,0,0,0,0
83,83,4,0,0,3,0,0,0,0
84,84,3,2,1,1,0,0,0,0
85,85,3,3,1,2,0,0,0,1
86,86,1,1,1,2,0,0,0,0
87,87,4,1,1,2,0,0,0,0
88,88,1,2,2,2,0,0,0,0
89,89,1,2,1,3,0,0,0,0
90,90,2,0,1,2,0,0,0,1
91,91,3,0,1,2,0,0,0,0
92,92,1,0,0,1,0,0,0,0
93,93,1,2,3,4,0,0,0,0
94,94,4,1,2,2,0,0,0,0
95,95,2,0,2,1,0,0,0,0
96,96,2,1,1,1,0,0,0,0
97,97,3,3,1,6,0,1,0,0
98,98,6,0,0,0,0,1,0,0
99,99,2,1,3,2,0,0,0,0
100,100,2,0,1,4,0,1,0,0
101,101,0,1,2,1,0,0,0,0
103,103,0,1,2,1,0,0,0,0
104,104,2,0,2,4,0,0,0,0
105,105,2,2,1,1,0,0,0,0
106,106,0,1,0,1,0,0,0,0
107,107,1,1,1,1,0,0,0,0
108,108,2,0,3,1,0,0,0,0
109,109,0,1,0,3,0,0,0,0
110,110,2,1,1,3,0,1,0,0
111,111,3,3,4,2,1,0,0,0
112,112,2,1,1,3,0,0,0,0
113,113,3,2,0,3,0,0,0,0
114,114,1,0,2,1,0,1,1,0
115,115,2,2,2,2,0,0,0,0
116,116,0,3,0,2,0,0,0,0
117,117,0,3,1,0,0,0,0,0
118,118,3,1,1,2,0,0,0,0
119,119,2,2,1,2,0,0,0,0
120,120,0,3,0,0,0,0,0,0
121,121,0,1,2,2,0,0,0,0
122,122,1,1,0,2,0,0,1,0
123,123,0,0,2,2,0,0,0,0
124,124,0,0,1,0,0,0,0,0
125,125,0,0,2,1,0,0,0,0
126,126,2,1,1,3,0,1,0,0
127,127,0,3,1,3,0,0,0,0
128,128,3,0,2,2,0,2,0,0
129,129,1,0,1,1,0,0,0,0
130,130,2,1,2,1,0,0,0,0
131,131,1,1,1,2,0,0,1,0
132,132,1,1,1,1,0,0,0,0
133,133,0,1,0,2,0,0,0,0
134,134,1,3,1,2,0,0,0,0
135,135,2,3,1,0,0,0,0,0
136,136,2,1,1,3,0,0,0,0
137,137,2,0,0,0,0,1,0,0
138,138,1,2,0,2,0,0,0,0
139,139,2,1,1,2,0,0,0,0
140,140,1,1,1,1,0,0,0,0
141,141,0,2,0,1,0,0,0,0
142,142,1,0,0,2,0,0,0,0
143,143,1,4,0,0,1,0,0,0
144,144,0,0,1,0,0,0,0,0
145,145,5,2,0,1,0,0,0,0
146,146,1,1,4,2,0,0,0,0
147,147,0,1,1,2,0,0,0,0
148,148,1,0,0,0,0,0,0,0
149,149,1,0,1,1,0,0,0,0
150,150,5,2,1,1,0,0,0,0
151,151,1,0,6,0,0,0,0,0
152,152,1,0,0,1,0,0,0,0
153,153,1,3,2,0,0,0,0,0
154,154,1,1,3,1,0,0,0,0
155,155,2,0,0,0,0,0,0,0
156,156,0,2,2,1,0,0,0,0
157,157,2,0,0,1,0,0,0,0
158,158,3,3,1,1,0,0,0,0
159,159,1,1,1,2,0,1,0,0
160,160,0,2,1,2,0,0,0,0
161,161,0,2,0,1,0,0,0,0
162,162,1,1,1,3,0,1,0,0
163,163,0,3,1,2,0,0,0,0
164,164,0,0,3,2,0,0,0,0
165,165,1,2,1,0,0,0,0,0
166,166,0,1,2,2,0,0,0,0
167,167,3,0,2,4,0,0,0,0
168,168,2,0,0,1,0,0,0,0
169,169,2,1,2,2,0,0,0,0
170,170,2,0,1,0,0,0,0,0
171,171,0,1,1,0,0,0,0,0
172,172,0,1,1,3,0,0,0,0
173,173,3,3,2,2,1,0,0,0
174,174,1,0,2,0,0,0,0,1
175,175,2,2,4,2,0,0,0,0
176,176,1,0,2,4,0,0,0,0
177,177,3,2,2,1,0,1,0,0
178,178,1,3,2,0,0,0,0,0
