,Away-Away,Away-Equal,Away-Home,Equal-Away,Equal-Equal,Equal-Home,Home-Away,Home-Equal,Home-Home
0,6808,0,18,6654,0,26,10927,0,131
1,6758,2,67,6614,0,96,10765,2,260
2,6674,3,142,6557,2,168,10620,4,394
3,6596,11,240,6497,2,210,10446,9,553
4,6517,14,320,6433,8,283,10267,15,707
5,6441,22,396,6369,12,358,10076,25,865
6,6368,35,479,6307,19,423,9878,44,1011
7,6281,42,547,6279,34,489,9689,54,1149
8,6204,53,617,6212,45,566,9526,69,1272
9,6121,64,687,6161,61,634,9343,81,1412
10,6035,71,763,6121,79,697,9180,100,1518
11,5950,82,834,6089,99,756,8975,135,1644
12,5876,93,889,6030,100,854,8815,160,1747
13,5795,118,946,5983,123,905,8657,188,1849
14,5719,134,1010,5946,142,946,8521,210,1936
15,5631,157,1052,5906,164,1005,8375,232,2042
16,5543,174,1110,5874,176,1074,8208,264,2141
17,5469,195,1157,5822,195,1148,8050,289,2239
18,5381,210,1203,5823,219,1196,7883,325,2324
19,5300,229,1237,5795,254,1277,7708,352,2412
20,5229,210,1308,5759,248,1386,7575,334,2515
21,5162,239,1345,5729,273,1434,7438,367,2577
22,5095,260,1374,5696,300,1495,7301,374,2669
23,5031,257,1415,5658,334,1566,7169,411,2723
24,4946,284,1459,5643,371,1599,7026,436,2800
25,4883,302,1485,5605,402,1667,6890,465,2865
26,4810,331,1520,5585,439,1715,6733,491,2940
27,4727,360,1558,5576,453,1758,6587,534,3011
28,4659,383,1577,5545,479,1847,6463,564,3047
29,4600,387,1616,5524,517,1901,6329,591,3099
30,4530,415,1639,5504,548,1958,6192,617,3161
31,4465,433,1649,5478,586,2055,6063,638,3197
32,4413,452,1682,5439,623,2141,5923,649,3242
33,4364,455,1721,5393,659,2214,5809,655,3294
34,4292,502,1748,5388,669,2263,5681,680,3341
35,4230,523,1757,5365,694,2362,5559,706,3368
36,4165,530,1793,5337,742,2432,5464,724,3377
37,4111,547,1808,5321,754,2496,5340,754,3433
38,4048,550,1830,5314,805,2555,5251,770,3441
39,3989,572,1829,5311,824,2634,5131,792,3482
40,3931,586,1853,5287,873,2713,5024,793,3504
41,3879,603,1867,5287,897,2781,4923,827,3500
42,3817,606,1882,5293,939,2843,4808,832,3544
43,3766,621,1876,5292,986,2903,4707,822,3591
44,3716,679,1836,5286,1023,2983,4517,855,3669
45,3616,656,1872,5334,1081,3086,4488,865,3566
46,3594,664,1856,5324,1108,3123,4397,874,3624
47,3528,677,1845,5338,1163,3186,4305,879,3643
48,3468,681,1852,5345,1204,3270,4198,898,3648
49,3410,691,1847,5367,1252,3352,4106,894,3645
50,3332,695,1863,5408,1275,3411,3988,917,3675
51,3269,702,1858,5420,1322,3511,3894,920,3668
52,3215,712,1852,5418,1374,3618,3812,929,3634
53,3174,716,1840,5414,1418,3717,3726,937,3622
54,3080,731,1841,5467,1448,3844,3602,947,3604
55,3017,740,1840,5506,1497,3975,3499,946,3544
56,2944,736,1830,5559,1544,4090,3396,934,3531
57,2885,723,1823,5610,1588,4220,3279,934,3502
58,2835,710,1832,5639,1636,4330,3190,931,3461
59,2775,724,1827,5662,1702,4422,3104,926,3422
60,2709,731,1790,5715,1771,4551,3000,910,3387
61,2654,707,1777,5760,1830,4677,2885,932,3342
62,2587,726,1743,5827,1852,4814,2796,930,3289
63,2525,715,1709,5891,1890,4961,2709,920,3244
64,2442,709,1694,5961,1959,5105,2611,904,3179
65,2378,709,1643,6033,2015,5261,2502,883,3140
66,2315,678,1598,6100,2081,5442,2408,864,3078
67,2267,657,1583,6158,2126,5602,2297,869,3005
68,2209,655,1571,6213,2188,5746,2218,838,2926
69,2149,621,1535,6279,2267,5907,2137,805,2864
70,2081,619,1515,6358,2293,6082,2063,785,2768
71,2015,587,1482,6439,2368,6230,1961,770,2712
72,1918,603,1423,6535,2438,6403,1869,738,2637
73,1849,572,1356,6625,2520,6615,1779,721,2527
74,1747,549,1296,6744,2612,6805,1672,684,2455
75,1651,539,1238,6859,2673,7023,1566,667,2348
76,1546,539,1165,6986,2755,7250,1471,622,2230
77,1467,487,1108,7109,2861,7475,1355,597,2105
78,1373,454,1042,7238,2952,7706,1258,535,2006
79,1262,434,958,7386,3036,7958,1153,504,1873
80,1110,424,882,7574,3137,8203,1020,474,1740
81,1031,385,785,7711,3259,8477,916,411,1589
82,926,326,704,7889,3362,8743,800,369,1445
83,795,299,619,8082,3462,9060,680,326,1241
84,683,264,503,8241,3588,9355,580,251,1099
85,572,217,408,8424,3693,9669,458,223,900
86,472,182,288,8620,3805,9982,321,166,728
87,341,121,162,8840,3930,10357,169,124,520
88,207,62,59,9071,4060,10717,45,51,292
89,0,0,0,9226,4227,11111,0,0,0
