,Unnamed: 0,ID,Goal_Home,Goal_Away,Yellow_Home,Yellow_Away,Red_Card_Home,Red_Card_Away,Own_Home,Own_Away
4,32,32,1,0,2,3,1,0,0,0
13,42,42,2,4,0,1,1,0,0,0
16,45,45,3,1,1,1,1,1,0,1
26,55,55,0,1,2,1,0,1,0,0
28,57,57,3,0,1,3,0,1,0,0
29,58,58,2,1,1,0,0,1,0,0
30,59,59,1,2,5,4,1,1,0,0
33,62,62,1,1,2,1,0,1,0,0
40,70,70,1,1,1,4,0,1,0,0
41,71,71,0,0,1,3,1,0,0,0
42,72,72,2,0,1,3,0,1,0,0
43,73,73,0,3,4,1,1,0,0,0
67,97,97,3,3,1,6,0,1,0,0
68,98,98,6,0,0,0,0,1,0,0
70,100,100,2,0,1,4,0,1,0,0
79,110,110,2,1,1,3,0,1,0,0
80,111,111,3,3,4,2,1,0,0,0
83,114,114,1,0,2,1,0,1,1,0
95,126,126,2,1,1,3,0,1,0,0
97,128,128,3,0,2,2,0,2,0,0
106,137,137,2,0,0,0,0,1,0,0
112,143,143,1,4,0,0,1,0,0,0
128,159,159,1,1,1,2,0,1,0,0
131,162,162,1,1,1,3,0,1,0,0
142,173,173,3,3,2,2,1,0,0,0
146,177,177,3,2,2,1,0,1,0,0
164,195,195,1,1,3,1,0,1,0,0
170,201,201,0,2,2,2,0,1,0,0
173,204,204,2,1,1,0,0,1,0,0
179,210,210,3,0,0,3,0,2,0,0
187,218,218,0,1,2,2,0,1,0,0
196,227,227,2,0,4,4,0,1,0,0
212,243,243,4,2,2,0,0,1,0,0
217,248,248,0,1,4,3,1,0,0,0
218,249,249,0,3,1,2,1,0,0,1
222,253,253,2,0,3,1,0,2,0,0
234,265,265,0,0,1,2,1,0,0,1
241,272,272,2,2,1,1,0,1,0,0
242,273,273,3,0,0,2,0,1,0,0
245,276,276,1,1,0,1,1,0,0,0
246,277,277,3,0,2,3,1,0,0,0
247,278,278,0,1,0,2,1,0,0,0
248,279,279,1,0,0,2,0,1,0,0
258,290,290,4,0,1,0,2,0,0,0
259,291,291,4,2,2,2,0,1,0,0
270,302,302,4,0,0,1,1,1,0,0
272,304,304,1,2,3,1,1,0,0,0
285,317,317,0,2,1,3,1,0,0,0
298,330,330,4,1,3,3,0,1,0,0
300,333,333,3,0,1,2,0,1,0,0
308,341,341,3,2,1,4,1,1,0,0
313,346,346,3,2,1,2,1,0,0,0
321,354,354,3,3,1,1,0,1,0,0
329,362,362,2,3,3,2,1,0,0,0
338,371,371,2,1,1,4,0,1,0,1
341,374,374,1,1,2,1,1,1,0,0
352,385,385,2,2,1,1,1,0,0,0
353,386,386,3,1,2,3,1,0,0,0
370,403,403,0,4,3,1,1,0,0,0
394,427,427,0,1,0,1,1,0,0,0
395,428,428,3,0,0,5,0,1,0,0
403,437,437,1,2,2,4,0,1,0,0
408,442,442,2,1,1,3,0,1,0,0
410,444,444,2,2,3,1,1,0,0,0
411,445,445,1,1,2,1,0,1,0,0
412,446,446,1,1,2,5,1,0,0,0
416,450,450,1,0,2,3,1,1,0,0
422,456,456,4,3,4,0,0,1,0,0
429,463,463,5,0,2,2,0,1,0,0
430,464,464,1,0,3,0,1,1,0,0
434,468,468,3,0,4,3,1,0,0,0
437,471,471,2,1,1,2,0,1,0,0
438,472,472,6,1,3,4,0,1,0,0
445,479,479,3,1,2,1,0,1,0,0
463,497,497,4,3,2,3,0,1,0,0
480,514,514,2,1,1,1,0,1,1,0
485,519,519,1,0,3,3,1,1,0,0
491,525,525,1,2,2,2,1,1,0,0
503,537,537,1,1,0,2,0,1,0,0
511,545,545,1,1,1,2,0,1,0,0
513,547,547,0,3,1,1,1,1,0,0
519,553,553,0,2,4,3,0,1,0,0
543,579,579,0,2,0,0,1,0,0,0
548,584,584,2,2,0,0,1,0,0,0
566,603,603,3,4,0,0,1,0,0,0
570,607,607,1,1,1,1,1,0,0,0
574,613,613,1,1,0,2,1,0,0,0
575,614,614,3,0,2,0,1,0,0,1
581,620,620,0,2,3,1,1,0,0,0
582,621,621,0,1,1,0,0,1,0,0
594,633,633,2,0,0,3,0,1,0,0
602,641,641,0,2,2,0,1,0,0,0
613,653,653,1,0,3,3,1,0,0,0
617,657,657,2,1,0,0,1,0,0,0
618,658,658,1,1,2,1,0,1,0,0
620,660,660,1,1,1,4,0,1,0,0
632,679,679,3,1,2,0,0,1,0,0
640,691,691,0,2,0,2,1,0,0,0
642,694,694,1,1,2,2,0,1,0,0
650,702,702,1,1,2,0,0,1,0,0
666,721,721,2,0,1,1,1,0,0,0
668,723,723,1,3,4,5,0,1,0,0
683,738,738,1,4,1,2,0,1,0,0
697,757,757,2,1,2,2,1,0,0,0
708,770,770,0,0,2,1,0,1,0,0
709,771,771,1,0,3,1,0,1,0,0
710,772,772,0,3,2,2,1,0,0,0
727,790,790,1,0,1,1,0,1,0,0
732,795,795,2,1,0,1,0,1,0,0
735,798,798,2,1,2,3,0,2,1,0
736,799,799,3,1,1,1,0,1,0,0
742,805,805,1,1,1,0,1,0,0,0
749,812,812,0,6,2,3,2,0,0,0
750,813,813,0,3,0,1,1,0,0,0
751,814,814,0,1,3,1,1,0,0,0
755,818,818,3,0,1,1,1,1,0,0
760,825,825,2,0,2,2,0,1,0,0
762,827,827,1,2,0,1,0,1,0,0
763,828,828,3,0,1,0,0,1,0,0
772,837,837,4,1,1,3,0,1,0,0
790,855,855,0,1,1,2,2,0,0,0
808,873,873,3,0,2,3,0,2,0,0
812,878,878,1,0,1,3,0,1,0,0
816,883,883,2,1,1,0,0,1,0,0
829,896,896,0,4,3,0,1,0,0,0
830,897,897,2,1,1,1,0,1,0,0
839,908,908,1,2,0,0,0,1,0,0
853,922,922,3,0,2,4,0,1,0,0
866,938,938,0,5,1,1,1,0,0,0
873,945,945,2,1,1,2,0,1,0,0
889,963,963,1,1,2,3,0,1,0,0
890,964,964,1,2,0,3,0,1,0,0
892,966,966,1,2,3,5,1,0,0,0
894,968,968,0,1,2,1,1,0,0,0
898,972,972,2,3,2,2,1,0,0,0
910,984,984,2,0,1,0,0,1,0,0
957,1035,1035,0,1,1,2,0,1,0,0
958,1036,1036,1,0,0,1,0,1,0,0
959,1037,1037,2,1,0,2,1,0,0,0
960,1038,1038,1,0,4,4,0,1,0,0
963,1041,1041,1,2,3,1,0,1,0,0
976,1054,1054,4,3,2,4,1,1,0,0
984,1062,1062,2,1,3,2,0,1,0,0
1011,1092,1092,0,1,0,1,0,1,0,0
1013,1094,1094,2,0,1,1,0,1,0,0
1016,1097,1097,0,1,5,2,2,1,0,0
1030,1112,1112,0,1,2,4,1,1,0,0
1045,1139,1139,1,2,1,2,2,1,0,0
1050,1146,1146,2,1,0,1,0,1,0,0
1064,1177,1177,1,3,2,3,1,0,0,0
1072,1201,1201,1,0,1,1,1,0,0,0
1077,1214,1214,0,1,0,4,1,0,0,0
1090,1240,1240,3,1,0,0,0,1,0,0
1097,1252,1252,1,0,4,1,0,2,0,0
1117,1292,1292,1,5,3,0,1,0,0,0
1124,1303,1303,1,0,3,1,1,0,0,0
1131,1318,1318,1,2,1,0,1,0,0,0
1138,1325,1325,3,1,2,2,0,1,0,0
1143,1332,1332,1,2,1,0,1,0,0,0
1166,1376,1376,4,2,3,1,0,1,0,0
1168,1379,1379,1,1,2,3,1,0,0,0
1176,1395,1395,1,1,0,3,1,1,0,0
1180,1403,1403,2,0,3,4,0,1,0,0
1209,1448,1448,1,1,2,2,0,1,0,0
1217,1460,1460,1,1,1,2,0,1,0,0
1223,1467,1467,1,0,3,1,0,1,0,0
1225,1472,1472,0,1,0,1,1,0,0,0
1229,1478,1478,2,1,2,1,0,1,0,0
1247,1503,1503,2,1,3,1,1,0,0,0
1259,1524,1524,4,0,1,1,0,1,0,0
1274,1549,1549,2,2,5,5,1,0,0,0
1301,1594,1594,1,2,0,0,1,0,0,0
1321,1625,1625,1,0,1,1,1,0,0,0
1369,1718,1718,1,0,1,3,0,1,0,0
1373,1727,1727,1,1,1,1,1,0,0,0
1374,1731,1731,2,1,0,3,0,2,1,0
1384,1746,1746,3,1,3,2,2,0,0,0
1387,1750,1750,0,0,2,3,1,0,0,0
1412,1802,1802,3,0,1,0,0,1,0,0
1437,1847,1847,1,0,2,2,0,1,0,0
1448,1872,1872,1,0,2,2,1,1,0,0
1459,1889,1889,0,2,1,4,1,0,0,0
1469,1910,1910,3,0,0,1,0,1,0,0
1472,1913,1913,1,1,2,1,1,1,0,0
1498,1966,1966,1,1,1,0,1,0,0,0
1505,1974,1974,0,0,2,0,0,1,0,0
1509,1984,1984,0,0,4,3,0,1,0,0
1512,1988,1988,0,1,3,1,1,0,0,0
1523,2011,2011,1,2,3,3,0,1,1,0
1524,2013,2013,2,1,0,2,0,1,0,0
1538,2042,2042,2,1,1,3,0,1,0,0
1542,2049,2049,2,1,2,1,1,0,0,0
1545,2058,2058,1,3,2,2,0,1,0,0
1556,2081,2081,2,1,1,2,0,1,0,0
1560,2090,2090,1,0,2,1,0,1,0,1
1562,2099,2099,1,1,2,4,0,1,1,0
1571,2123,2123,1,3,3,3,1,0,0,0
1591,2159,2159,1,2,0,3,0,1,0,0
1594,2166,2166,1,1,3,1,0,1,0,0
1598,2174,2174,2,1,3,3,0,1,0,0
1605,2183,2183,5,2,0,2,0,1,0,0
1607,2185,2185,2,0,1,2,0,1,0,0
1625,2217,2217,0,4,1,1,1,0,0,0
